Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
204,2008-05-15,12:32:00,33.44316667,-117.7123333,10.95,8.76,20,80,19,,36,10,LS,"Nelson Elementary","Cornelia High School",31
205,2008-05-19,12:54:00,33.4413,-117.71305,1.41,0.65,54,46,19,,40,10,LS,"Cornelia High School","Ball Middle",26
206,2008-05-22,13:00:00,33.44616667,-117.7061,3.18,1.25,60.66,39.34,19.2,,40,10,LS,"Ball Middle","Valley Elementary",36
207,2008-05-27,10:00:00,33.43816667,-117.7043333,0.95,0.21,77.83,22.17,17.8,,38,10,LS,"Valley Elementary","Valley Elementary",35
208,2008-05-30,13:00:00,33.43716667,-117.7031667,1.25,0.47,62.25,37.75,20,,36,10,LS,"Valley Elementary","Frank Wright Elementary",31
209,2008-06-03,10:30:00,33.45016667,-117.7261667,7.91,4.54,42.65,57.35,17,,40,10,LS,"Frank Wright Elementary","Arovista Elementary",40
210,2008-06-09,10:10:00,33.44133333,-117.7196667,3.01,2.54,15.67,84.33,18.5,,54,10,LS,"Arovista Elementary","Wildwood Elementary",44
211,2008-06-13,13:40:00,33.43966667,-117.7148333,0.66,0.22,66.45,33.55,19.1,,54,10,LS,"Wildwood Elementary","Cal St. Fullerton College",37
212,2008-06-21,11:45:00,33.43855,-117.70985,0.49,0.18,62.54,37.46,20,,25,10,LS,"Cal St. Fullerton College","Ocean Institute Other",37
214,2008-07-01,13:00:00,33.45866667,-117.7091667,0.71,0.27,61.84,38.16,14.1,19.44,34,10,CAMP,"Ocean Institute Other","Ocean Institute Other",36
215,2008-07-08,13:15:00,33.45016667,-117.7268333,1.77,1.17,33.74,66.26,20,,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",36
216,2008-07-15,12:30:00,33.43733333,-117.7126667,1.1,0.21,81.15,18.85,16.5,,44,10,CAMP,"Ocean Institute Other","Ocean Institute Other",31
217,2008-07-22,12:45:00,33.4415,-117.707,1.24,0.26,78.83,21.17,20,,34,10,CAMP,"Ocean Institute Other","Ocean Institute Other",29
218,2008-07-28,13:15:00,33.4575,-117.7325167,3.16,0.53,83.09,16.91,22.1,,35,10,CAMP,"Ocean Institute Other","Ocean Institute Other",
219,2008-07-29,12:40:00,33.44116667,-117.71,3.55,1.7,52.23,47.77,23,,36,10,CAMP,"Ocean Institute Other","Ocean Institute Other",41
220,2008-08-01,11:15:00,33.44966667,-117.726,1.81,0.53,70.87,29.13,21,,36,10,CAMP,"Ocean Institute Other","Ocean Institute Other",35
221,2008-08-05,13:20:00,33.4445,-117.7178333,0.95,0.25,73.62,26.38,20,22.22,38,10,CAMP,"Ocean Institute Other","Ocean Institute Other",40
222,2008-08-12,13:15:00,33.42495,-117.6965,0.53,0.09,82.63,17.37,18.7,22.22,60,10,CAMP,"Ocean Institute Other","Glendale College",31
223,2008-08-17,10:30:00,33.4401,-117.7388333,0.29,0.07,76.07,23.93,18,22.22,38,10,AFL,"Glendale College","Ocean Institute Other",30
224,2008-08-19,13:10:00,33.4475,-117.725,0.56,0.21,63.21,36.79,17.5,22.22,44,10,CAMP,"Ocean Institute Other","Ocean Institute Other",32
225,2008-09-10,14:20:00,33.43366667,-117.6955,1.66,0.98,40.87,59.13,22.6,,36,10,Training,"Ocean Institute Other","Newland Elementary",22
226,2008-09-15,10:30:00,33.43583333,-117.6988333,0.7,0.17,76.22,23.78,16.3,,40,10,WS,"Newland Elementary",,32
228,2008-09-19,10:20:00,33.43466667,-117.7001667,1.46,0.4,72.62,27.38,18.5,,40,10,WS,"Tri-City Christian Private","Rolling Hills Elementary",23
229,2008-09-22,12:00:00,33.43446667,-117.6996333,1.31,0.07,94.9,5.1,21.1,,38,10,WS,"Rolling Hills Elementary","Fisler Elementary",28
230,2008-09-25,10:30:00,33.43388333,-117.6846667,0.44,0.07,83.42,16.58,14,,36,10,WS,"Fisler Elementary","Fisler Elementary",34
231,2008-09-29,10:35:00,33.43346667,-117.7493167,1.97,0.42,78.79,21.21,10,,41,10,WS,"Harbor Day Private","Pegasus Private",21
232,2008-10-02,10:15:00,33.438,-117.749,0.93,0.24,73.65,26.35,15.1,,30,10,WS,"Pegasas Private","Beaumont Elementary",30
233,2008-10-07,10:15:00,33.43683333,-117.7481667,1.2,0.19,84.44,15.56,16,,31,10,WS,"Beaumont Elementary","Commonwealth Elementary",30
234,2008-10-10,10:12:00,33.441,-117.7055,1.73,0.85,51.08,48.92,18.4,,30,10,LS,"Commonwealth Elementary","Grapevine Elementary",33
235,2008-10-14,10:30:00,33.43683333,-117.6913333,1.03,0.26,74.48,25.52,16.5,,30,10,WS,"Grapevine Elementary",,30
236,2008-10-17,10:30:00,33.43766667,-117.699,0.92,0.22,76.07,23.93,15.5,,30,10,WS,,"Viejo Elementary",41
237,2008-10-20,15:00:00,33.43166667,-117.701,1.03,0.22,78.99,21.01,15,,50,10,LS,"Viejo Elementary","Mariposa Elementary",47
238,2008-10-23,14:45:00,33.45816667,-117.7258333,0.81,0.21,73.84,26.16,20,22.22,26,10,LS,"Mariposa Elementary","Stockdale Elementary",27
240,2008-11-03,09:30:00,33.4375,-117.7206667,0.52,0.08,84.4,15.6,20,,44.5,10,LS," Private","Westview ",
241,2008-11-07,08:25:00,33.4365,-117.701,1.76,0.73,58.47,41.53,17.1,,30,10,LIAB,"Westview ","Taft/ Santa Ana Elementary",18
242,2008-11-13,08:20:00,33.441,-117.709,2.38,0.93,61.07,38.93,16,16.11,36,10,LS,"Taft/ Santa Ana Elementary","San Clement High School",24
243,2008-11-19,09:00:00,33.43816667,-117.7161667,2.02,0.51,74.8,25.2,19,,60,10,AFL,"San Clement High School","Laguna Beach High School",32
244,2008-11-21,10:00:00,33.43166667,-117.7015,0.97,0.3,69.54,30.46,16,,37,10,LS,"Laguna Beach High School","Viewpoint Academy",28
245,2008-11-24,14:00:00,33.43166667,-117.715,0.41,0.09,78.69,21.31,18,,34,10,LS,"Viewpoint Academy","Count Springs Elementary",32
246,2008-12-01,12:45:00,33.43446667,-117.7001667,1.08,0.24,77.42,22.58,15.7,,40,10,LS,"Country Springs Elementary","Crossroads Elementary",35
247,2008-12-03,10:00:00,33.453,-117.7273333,1.03,0.35,65.96,34.04,16.1,,31.1,10,LS,"Crossroads Elementary","Lyndon Johnson Elementary",42
248,2008-12-08,12:30:00,33.43446667,-117.70405,2.45,1.25,49.06,50.94,18,,44,10,LS,"Lyndon Johnson Elementary","Del Obispo Elementary",27
249,2008-12-11,12:30:00,33.44333333,-117.7116667,2.12,0.8,62.12,37.88,16.2,,29,10,LS,"Del Obispo Elementary","Serrano Elementary",35
250,2009-01-16,08:00:00,33.45783333,-117.7356667,11.08,4.53,59.14,40.86,16,,38,10,LIAB,"Serrano Elementary","Cresten Middle",32
251,2009-01-22,08:00:00,33.43966667,-117.7078333,0.52,0.16,69.48,30.52,15,15.56,40,10,LIAB,"Cresten Middle","Vista View Elementary",27
252,2009-01-28,13:15:00,33.45583333,-117.7258333,0.89,0.33,63.5,36.5,16.7,,40,10,SS,"Vista View Elementary","Oak Middle",43
253,2009-02-02,14:45:00,33.44935,-117.6955,1.16,0.67,41.97,58.03,,,37,10,LS,"Oak Middle","Oak Middle",27
254,2009-02-11,11:00:00,33.45216667,-117.7275,1.04,0.33,68.45,31.55,13.9,15.56,36,10,LS,"Monroe Elementary","Laura Other",27
255,2009-02-13,10:00:00,33.447,-117.7185,0.82,0.34,58.78,41.22,14,15.56,28,10,LS,"Laura Other","Granite Hill Elementary",
256,2009-02-17,13:00:00,33.453,-117.721,1.01,0.19,81.39,18.61,14.4,,34,10,LS,"Granite Hill Elementary","Vista View Middle",32
257,2009-02-20,10:45:00,33.40916667,-117.6618333,1.58,0.36,77.03,22.97,14.4,,42,10,LS,"Vista View Middle","Cottonwood Canyon Elementary",
258,2009-02-24,10:30:00,33.45433333,-117.7323333,1.13,0.32,71.73,28.27,15.7,,38,10,SS,"Cottonwood Canyon Elementary","Barstow Middle",25
259,2009-02-27,10:30:00,33.4465,-117.7205,2.15,1.53,28.69,71.31,15.5,16.67,34,10,LS,"Barstow Middle","MacArthur Fundamental Middle",37
260,2009-03-05,15:15:00,33.43,-117.6926667,0.11,0.04,66.47,33.53,15,,42,10,LS,"MacArthur Fundamental Middle","Nome Other",42
261,2009-03-10,09:30:00,33.4475,-117.741,1.54,0.51,67,33,15.6,,35,10,MMC,"Nome Other","Holy Family High School",
262,2009-03-13,13:00:00,33.4525,-117.7278333,2.61,1.62,37.94,62.06,15,18.89,36,10,LS,"Holly Family High School","Edwin Rhodes Elementary",23
263,2009-03-16,13:00:00,33.4841,-117.7491833,1.02,0.19,81.85,18.15,15,,40,10,LS,"Edwin Rhodes Elementary","Valley Elementary",33
264,2009-03-19,13:00:00,33.45,-117.7276667,0.71,0.35,50.92,49.08,14.4,14.44,38,10,LS,"Valley Elementary","La Quinta High School",33
265,2009-03-24,14:30:00,33.42993333,-117.7012,1.57,0.97,38.29,61.71,15,15.56,61,10,AFL,"La Quinta High School","Laguana Beach High School",33
266,2009-03-27,09:30:00,33.43583333,-117.7098333,2.6,1.62,37.7,62.3,14,14.44,58,10,AFL,"Laguana Beach High School","Holmes Middle",19
267,2009-03-31,15:30:00,33.45533333,-117.7306667,2.24,0.32,85.56,14.44,18,,32,10,LS,"Holmes Middle School","Hermosa Elementary",29
268,2009-04-04,10:30:00,33.43816667,-117.7076667,0.87,0.14,83.8,16.2,17,,36,10,AFL,"Hermosa Elementary","Ocean Institute Other",29
269,2009-04-09,13:50:00,33.43383333,-117.6976667,1.77,1.25,29.24,70.76,14.4,,40,10,CAMP,"Ocean Institute Other","Palomar College",30
271,2009-04-16,10:30:00,33.45133333,-117.7306667,2.13,1.84,13.69,86.31,15,15.56,40,10,LS,"LaVeta Elementary","Animo Leadership High School",48
272,2009-04-20,10:15:00,33.44866667,-117.727,2.36,0.76,67.93,32.07,16,18.33,45,10,LS,"Animo Leadership High School","Pinecrest Elementary",42
273,2009-04-24,10:20:00,33.44533333,-117.7266667,5.58,3.43,38.58,61.42,16,17.22,32,10,LS,"Pinecrest Elementary",,40
274,2009-04-29,12:30:00,33.43366667,-117.7001667,2.03,1.85,9.14,90.86,10,15.56,42,10,LS,,"Desert Shadows Elementary",29
275,2009-05-01,14:40:00,33.433,-117.6988333,3.86,2.81,27.36,72.64,17,17.78,39.6,10,LS,"Desert Shadows Elementary","Oak Ridge Elementary",18
276,2009-05-04,10:15:00,33.43441667,-117.7017667,5.46,4.23,22.43,77.57,15.6,,43,10,LS,"Oak Ridge Elementary","Washington Charter",22
277,2009-05-08,12:30:00,33.43983333,-117.7135,2.52,1.65,34.56,65.44,14,15,40,10,LS,"Washington Charter","Maranath Christian Mid/High School",55
278,2009-05-12,12:45:00,33.43866667,-117.705,3.63,2.87,20.89,79.11,15,15,38,10,LS,"Maranath Christian Mid/High School","Chaparral Elementary",54
279,2009-05-15,14:45:00,33.43683333,-117.7026667,0.47,0.16,66.67,33.33,17.5,16.67,38,10,LS,"Cuyamaca Elementary","Ball Middle/High School",41
280,2009-05-22,10:30:00,33.46283333,-117.7386667,0.58,0.2,64.7,35.3,12,17.78,38,10,LS,"Sonora High School","Ball Middle/High School",25
281,2009-06-11,12:50:00,33.4535,-117.7275,1.02,0.15,85.18,14.82,21,20,48,10,LS,"Ball Middle/High School","Big Bear Elementary",
282,2009-06-12,15:00:00,33.43366667,-117.7386667,4.37,2.27,48.03,51.97,14,20,42,10,LS,"Big Bear Elementary","Temple Heights Elementary",29
283,2009-06-15,13:45:00,33.43733333,-117.7058333,2.02,0.66,67.55,32.45,14,20.56,40,10,LS,"Temple Heights Elementary","Ocean Institute Other",
284,2009-06-30,13:15:00,33.43,-117.6833333,0.51,0.08,83.6,16.4,17,20.56,34,10,CAMP,"Ocean Institute Other","Ocean Institute Other",
286,2009-07-14,12:05:00,33.43916667,-117.706,3.27,2.56,21.85,78.15,20,21.11,40,10,CAMP,"Ocean Institute Other","Mt. Sac College",
287,2009-07-17,08:30:00,33.44,-117.7203333,4,3.17,20.89,79.11,20,21.11,60,10,AFL,"Mt. Sac College","Palomar College",30
288,2009-07-21,12:05:00,33.435,-117.7106667,5.37,4.87,9.31,90.69,25,23.89,60,10,AFL,"Palomar College","Ocean Institute Other",25
289,2009-08-03,13:00:00,33.44183333,-117.7148333,0.28,0.1,64.98,35.02,20,20,60,10,CAMP,"Ocean Institute Other","Webb Found ",36
290,2009-08-07,11:15:00,33.438,-117.7083333,0.14,0.04,73.48,26.52,20,,60,10,LS,"Webb Found ","Ocean Institute Other",22
291,2009-08-11,13:30:00,33.37083333,-117.7361667,0.9,0.3,66.5,33.5,20,,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",
292,2009-08-18,13:30:00,33.44,-117.7203333,0.44,0.18,60.28,39.72,25,20,38,10,CAMP,"Ocean Institute Other","Newport High School",
293,2009-08-20,09:00:00,33.43816667,-117.7073333,0.3,0.08,73.58,26.42,19,19.44,38,10,LS,"Newport High School","Ocean Institute Other",26
294,2009-08-25,12:30:00,33.42166667,-117.6966667,0.46,0.14,68.39,31.61,20,,40,10,CAMP,"Ocean Institute Other","San Antonio Elementary",
295,2009-09-21,12:45:00,33.4325,-117.6961667,0.21,0.06,73.36,26.64,22,,40,10,WS,"San Antonio Elementary","Westpark Elementary",29
296,2009-09-24,13:00:00,33.43516667,-117.6963333,9.49,5.86,38.19,61.81,20.5,22.22,37,10,WS,"Jefferson Elementary","Jefferson Elementary",33
297,2009-09-30,10:30:00,33.43583333,-117.6988333,2,1.53,23.54,76.46,,,38,10,WS,"Jefferson Elementary","Beaumont Elementary",30
298,2009-10-01,10:30:00,33.43583333,-117.6988333,0.38,0.09,75.14,24.86,20,21.11,38,10,WS,"Beaumont Elementary","Laveta Elementary",31
299,2009-10-07,05:00:00,33.43216667,-117.7135,0.28,0.09,66.3,33.7,,21.67,48.7,10,,"La Veta Elementary","Eastwood Elementary",30
300,2009-10-08,10:30:00,33.43383333,-117.6986667,0.36,0.19,47.39,52.61,22,20.56,40,10,WS,"Eastwood Elementary","Cal State Fullerton College",32
301,2009-10-10,10:15:00,33.439,-117.7101667,0.35,0.11,69.51,30.49,19.5,20.56,37,10,AFL,"Cal State Fullerton College","William Jeff Clinton ",34
302,2009-10-14,13:00:00,33.43466667,-117.7003333,0.42,0.15,65.36,34.64,20,20.56,38,10,WS,"William Jeff Clinton ","Harbor Day Private",21
303,2009-10-19,10:15:00,33.43766667,-117.6976667,1.03,0.5,51.48,48.52,20,20.56,39,10,WS,"Harbor Day Private","Mariposa Elementary",23
304,2009-10-22,16:00:00,33.42916667,-117.6885,0.4,0.08,81.15,18.85,20,20,40,10,LS,"Mariposa Elementary","Stockdale Elementary",30
305,2009-10-26,10:30:00,33.428,-117.6868333,18.84,3.48,81.52,18.48,20.5,20.56,40,10,HSES,"Stockdale Elementary","Anaheim Union Elementary",33
306,2009-11-02,12:45:00,33.4295,-117.7073333,0.09,0.03,64.29,35.71,19,20,40,10,HSES,"Anaheim Union High School","Anaheim Union High School",26
307,2009-11-09,10:15:00,33.42833333,-117.713,0.7,0.22,67.99,32.01,19,19.44,48.2,10,HSES,"Anaheim Union High School","Anaheim Union High School",18
308,2009-11-12,10:15:00,33.43133333,-117.7135,1.27,0.78,38.42,61.58,19,18.89,48.8,10,HSES,"Anaheim Union High School","Anaheim Union High School",20
309,2009-11-16,13:00:00,33.39933333,-117.6238333,0.18,0.07,61.62,38.38,16,16.11,40,10,HSES,"Palomar College College","Anaheim Union College",30
310,2009-11-19,13:00:00,33.43066667,-117.7106667,0.3,0.11,62.5,37.5,17,18.33,45.72,10,HSES,"Anaheim Union High School","Viewpoint High School",29
311,2009-11-23,13:00:00,33.42875,-117.6914667,0.36,0.11,68.56,31.44,15,15.56,40,10,LS,"Viewpoint Elementary","Crossroads Elementary",26
313,2009-12-11,12:45:00,33.4495,-117.7186667,0.66,0.15,76.95,23.05,15,16.11,30,10,SSC,"La Canada Elementary","Tesoro High School",47
314,2009-12-16,09:45:00,33.47933333,-117.759,6.07,0.16,97.36,2.64,16,16.67,60,10,AFL,"Tesoro High School","Public Other",21
315,2010-01-24,14:00:00,33.42916667,-117.7041667,0.56,0.25,55.79,44.21,17,15.56,31,10,MMC,"public tour Other","Yucca Valley High School",
316,2010-01-29,10:30:00,33.45411667,-117.73255,0.5,0.15,70.34,29.66,18,16.67,42,10,MMC,"Yucca valley High School","Eucalyptus Elementary",35
317,2010-02-05,10:45:00,33.43266667,-117.7018333,0.94,0.37,60.81,39.19,14,16.11,54,10,LS,"Eucalyptus Elementary","Loma Linda Academy",33
318,2010-02-12,08:00:00,33.43283333,-117.6935,2.29,0.91,60.37,39.63,16.2,15.56,54,10,WS,"Loma Linda Academy","Golden Hill Academy",32
319,2010-02-17,07:40:00,33.43416667,-117.6993333,0.47,0.17,64.59,35.41,16,15.56,40,10,WS,"Golden Hills Elementary","Monroe Elementary",35
320,2010-02-19,13:00:00,33.45066667,-117.7261667,1.19,0.53,55.6,44.4,18,16.67,35,10,LS,"Monroe Elementary","Bonita Juarez Elementary",45
321,2010-02-23,10:50:00,33.4415,-117.7156667,0.74,0.22,70.6,29.4,15.7,15.56,42,10,LS,"Benito Juarz Elementary","Rowan Elementary",39
322,2010-02-26,12:50:00,33.43266667,-117.695,0.93,0.28,70.37,29.63,16,16.67,46.6,10,MMC,"Rowan Elementary","San Marcos Elementary",50
323,2010-03-02,13:00:00,33.42916667,-117.7073333,1.67,1.12,32.73,67.27,15,16.67,46.6,10,LS,"San Marcos High School","Vista Del Mar High School",26
324,2010-03-05,13:30:00,33.41683333,-117.6731667,1.3,0.58,55.03,44.97,15,16.39,46.6,10,MMC,"Vista Del Mar Elementary","Orange Crescent Elementary",35
325,2010-03-08,09:45:00,33.45735,-117.7200667,0.56,0.22,61.66,38.34,15,16.67,40,10,MMC,"Orange Crescent Elementary","Laguna Beach High School",34
326,2010-03-12,08:45:00,33.4306,-117.6940667,4.28,2.98,30.31,69.69,13.3,15,40,10,WS,"Laguna Beach High School","Edwin Rhodes Elementary",22
327,2010-03-15,13:20:00,33.43433333,-117.6998333,4.55,3.49,23.22,76.78,14,15.56,40,10,LS,"Irwin Rhodes Elementary/Middle","Andrew Jackson Elementary",38
328,2010-03-19,14:50:00,33.43325,-117.6995,12.01,8.78,26.9,73.1,13,16.67,42,10,SSC,"Andrew Jackson Elementary","Mcarthur Fundamental Elementary",42
329,2010-03-26,15:20:00,33.43466667,-117.7046667,1.14,0.89,21.9,78.1,16,16.67,34,10,LS,"Valdez Middle","Paradise Canyon Middle",33
330,2010-03-29,10:30:00,33.4185,-117.6671667,0.46,0.21,55.16,44.84,16,17.22,30,10,LS,"Paradise Canyon Elementary","Holmes Elementary",21
331,2010-04-08,10:30:00,33.42168333,-117.6666667,0.59,0.07,88.25,11.75,17,15.56,30,10,LS,"Holmes Elementary","Valley Elementary",25
332,2010-04-13,13:00:00,33.42166667,-117.6666667,0.71,0.53,26.15,73.85,16,15.56,40,10,LS,"Valley Elementary","Woodland Elementary",37
333,2010-04-16,15:00:00,33.48425,-117.7553333,0.31,0.05,83.17,16.83,21.4,16.67,60,10,AFL,"Mira Costa College","Laguna Niguel Elementary",31
334,2010-04-26,16:45:00,33.43166667,-117.696,5.57,4.22,24.21,75.79,14.5,16.67,40,10,WS,"Laguna Niguel Elementary","Mira Costa College",30
335,2010-05-03,14:10:00,33.4151,-117.6808333,1.39,0.89,36.02,63.98,22.4,23.33,40,10,AFL,"Mira Costa College","Mira Costa College",30
336,2010-05-06,14:50:00,33.47866667,-117.757,0.69,0.28,58.96,41.04,14.5,17.78,56,10,AFL,"Mira Costa College","Oak Hills Middle",
337,2010-05-10,14:15:00,33.45725,-117.7340167,0.33,0.16,51.56,48.44,15,15.56,40,10,LS,"Oak Hill Middle","Oak Hills High School",36
338,2010-05-13,10:15:00,33.44183333,-117.7215,1.01,0.28,72.32,27.68,15,16.67,45,10,LS,"Oak Hill High School","Oak Hills High School",36
339,2010-05-17,12:50:00,33.44376667,-117.7175833,1.71,0.42,75.48,24.52,15,16.67,40,10,LS,"Oak Hill Middle","John Adams Middle",31
340,2010-05-21,09:30:00,33.44611667,-117.6869167,0.27,0.05,81.49,18.51,20,15.56,40,10,LS,"John Adams Middle","Henderson Elementary",43
341,2010-05-24,14:50:00,33.44333333,-117.7166667,2.41,0.79,67.22,32.78,15,15.56,40,10,LS,"Henderson Elementary","Pantera Elementary",27
342,2010-05-27,07:30:00,33.44378333,-117.7172667,2.54,1.03,59.32,40.68,13,17.22,40,10,LITA,"Pantera Elementary","96th Street Elementary",36
344,2010-06-04,12:40:00,33.4385,-117.7101667,1.99,0.95,52.59,47.41,16.2,18.89,43,10,LS,"Seneca Elementary","Davis Elementary",26
345,2010-06-07,13:30:00,33.40965,-117.6640167,0.73,0.2,71.81,28.19,18.8,17.22,40,10,LS,"Davis Elementary","Ball Middle",23
346,2010-06-10,13:00:00,33.43531667,-117.7186167,1.3,0.69,46.63,53.37,19.5,16.67,40,10,LS,"Ball Middle","Temple Hills Elementary",43
347,2010-06-14,13:00:00,33.45783333,-117.7355,3.01,2.54,15.67,84.33,18.5,20,34,10,LS,"Temple Hills Elementary","Young Oak Elementary",47
348,2010-06-17,15:45:00,33.4385,-117.708,1.94,1.65,14.63,85.37,17,21.11,40,10,LS,"Young Oak Elementary","Johns Hopkins CTY Elementary",40
349,2010-06-28,07:50:00,33.42985,-117.7093333,1.34,0.88,34.04,65.96,18,18.89,32.3,10,MMC,"Johns Hopkins CTY Middle","Ocean Institute Other",23
350,2010-07-13,09:30:00,33.459,-117.7535,0.43,0.09,78.46,21.54,16,20,30.48,10,CAMP,"Ocean Institute Other","Ocean Institute Other",42
351,2010-07-20,10:15:00,33.41533333,-117.7046667,0.78,0.27,65,35,18.6,19.44,61,10,CAMP,"Ocean Institute Other","Ocean Institute Other",28
352,2010-07-27,10:30:00,33.437,-117.7101667,1.79,0.46,74.24,25.76,14,20,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",30
353,2010-08-02,11:00:00,33.437,-117.7175,1.37,0.47,65.51,34.49,20,20,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",32
354,2010-08-10,09:45:00,33.42066667,-117.6738333,0.59,0.14,76.78,23.22,16,21.11,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",33
355,2010-08-17,10:30:00,33.45113333,-117.7385833,8.41,1.29,84.71,15.29,16,17.78,30,10,CAMP,"Ocean Institute Other","Ocean Institute Other",26
356,2010-08-24,10:00:00,33.45326667,-117.6922333,1.42,0.59,58.55,41.45,16,18.89,33,10,CAMP,"Ocean Institute Other","Ocean Institute Other",20
357,2010-08-31,11:00:00,33.45338333,-117.7311667,2.62,0.99,62.29,37.71,16,21.11,38.1,10,CAMP,"Ocean Institute Other","Fruitvale Elementary",11
358,2010-09-14,15:36:00,33.441,-117.7015,1.04,0.35,66.33,33.67,20,20,39,10,LS,"Fruitvale Elementary","Newland Elementary",40
359,2010-09-21,10:30:00,33.44106667,-117.6977167,0.59,0.37,36.9,63.1,16,13.89,40,10,WS,"Newland Elementary","Castille Elementary",33
360,2010-09-24,09:30:00,33.43326667,-117.6966667,0.76,0.14,82.34,17.66,18,20,40,10,WS,"Castille Elementary","Portola Hills Elementary",32
361,2010-09-28,10:00:00,33.43535,-117.7007833,2.42,0.92,61.88,38.12,17.5,20.56,40,10,WS,"Portola Hills Elementary","Finley Elementary",18
363,2010-10-04,10:30:00,33.4354,-117.7000333,0.89,0.22,75.07,24.93,20,18,40,10,WS,"St.Callistus Elementary","Tri-CityChristian Elementary",19
364,2010-10-07,09:30:00,33.38081667,-117.6412333,1.91,1.22,36.06,63.94,19,22.22,40,10,WS,"Tri-City Christian Elementary","Anderson Elementary",25
365,2010-10-12,10:20:00,33.44315,-117.7061833,0.79,0.31,61.41,38.59,19,20.56,40,10,WS,"Anderson Elementary","Lake View Elementary",31
366,2010-10-15,12:44:00,33.43383333,-117.6996667,1.47,0.38,73.87,26.13,19,20.56,41,10,WS,"Lake View Elementary","San Antonio Elementary",30
367,2010-10-18,12:40:00,33.46923333,-117.7445333,0.64,0.25,60.67,39.33,21.8,20,40,10,WS,"San Antonio Elementary","Hillsborough Elementary",29
368,2010-10-26,10:50:00,33.4689,-117.7466333,1.12,0.33,70.15,29.85,18.4,20,40,10,MMC,"Hillborough Elementary","Edison Elementary",29
369,2010-10-28,10:45:00,33.45733333,-117.7356667,0.87,0.45,47.68,52.32,21.6,20.56,42,10,MMC,"Edison Elementary","Jim Thorpe Fundamental Private",46
370,2010-11-01,09:45:00,33.40861667,-117.6669333,1.32,0.65,50.72,49.28,17.5,20,49,10,LS,"Jim Thorpe Fundamental Private","Buena vista Private",25
371,2010-11-04,12:35:00,33.43416667,-117.7026667,3.22,1.11,65.35,34.65,20.4,17.22,38,10,MMC,"Buena Vista Private","McClintock High School",25
372,2010-11-06,10:20:00,33.43816667,-117.7095,5.3,2.41,54.45,45.55,18.3,18.89,40,10,LS,"Mc Clintock High School","River Springs Charter",42
373,2010-11-08,11:05:00,33.43238333,-117.6938667,0.55,0.09,83.86,16.14,17.4,18.89,39,10,LS,"River Springs Charter","St. Frances Middle/High School",21
375,2010-11-17,13:45:00,33.43883333,-117.7106667,0.39,0.05,85.97,14.03,17,16.67,44,10,MMC,"Sequoyah Elementary","Viewpoint Elementary",48
376,2010-11-22,13:30:00,33.45416667,-117.7203333,1.22,0.73,40.52,59.48,17.9,17.78,45,10,LS,"Viewpoint Elementary","Country Springs Elementary",38
377,2010-11-29,10:40:00,33.43233333,-117.6959167,2.79,1.88,32.71,67.29,14,15.56,40,10,LS,"Country Springs Elementary","Country Springs Elementary",33
378,2010-12-01,10:45:00,33.43233333,-117.6953333,4.58,3.02,34.18,65.82,14.7,15.56,40,10,LS,"Country  Springs Elementary","Kennedy Elementary",25
379,2010-12-07,13:15:00,33.45698333,-117.735,3.45,1.88,45.34,54.66,15.8,15.56,40,10,LS,"Kennedy Elementary","Sonora Elementary",27
380,2010-12-09,09:40:00,33.43336667,-117.7024167,1.21,0.71,41.29,58.71,15.4,15.56,48,10,LS,"Sonora High School","Arroyo Vista Elementary",29
381,2010-12-13,13:00:00,33.43366667,-117.699,1.09,0.54,49.95,50.05,16,16.67,50,10,LS,"Arroyo Vista Elementary","Lyndon B Johnson Elementary",51
382,2010-12-16,14:15:00,33.45416667,-117.7203333,1.35,0.73,45.89,54.11,18.8,16.11,21,10,LS,"Lyndon B. Johnson Elementary","Wagon Wheel Elementary",32
383,2011-01-04,10:55:00,33.43633333,-117.706,1.78,0.93,47.8,52.2,18,16.11,42,10,LS,"Wagon Wheel Elementary","Las Palmas Elementary",32
384,2011-01-10,10:30:00,33.45511667,-117.68935,0.67,0.26,60.99,39.01,14.4,16.67,45,10,LS,"Las Palmas Elementary","Scottsdale Christian Academy",30
385,2011-01-13,10:20:00,33.46351667,-117.73,0.62,0.19,68.88,31.12,14.2,15.56,45,10,MMC,"Scottsdale Christian Academy","Cresscent Academy",52
386,2011-01-19,08:10:00,33.451,-117.7291667,0.82,0.26,68.55,31.45,14.1,15.56,42,10,LITA,"Crescent Elementary","Serrano Elementary",32
387,2011-01-21,08:25:00,33.45483333,-117.7361667,1.65,0.8,51.29,48.71,15.4,15.56,58,10,LITA,"Serrano Elementary","Wagon Wheel Elementary",36
388,2011-01-27,09:30:00,33.45483333,-117.7361667,3.28,2.61,20.32,79.68,15.4,15.56,35.4,10,WS,"Wagon Wheel Elementary","El Vienda Fdn. Elementary",42
