latitude,longitude,chlorophyll
54.1875,7.854172,40.513763
54.1875,7.854172,34.596703
54.1875,7.854172,29.360538
54.1875,7.854172,25.35229
54.1875,7.854172,24.834644
54.1875,7.854172,24.632782
54.1875,7.854172,24.573523
54.1875,7.854172,23.754904
54.1875,7.854172,20.601889
54.1875,7.854172,20.553967
54.1875,7.854172,20.073408
54.1875,7.854172,18.146965
54.1875,7.854172,16.944437
54.1875,7.854172,16.482363
54.1875,7.854172,15.785009
54.1875,7.854172,15.568815
54.1875,7.854172,14.128776
54.1875,7.854172,13.825955
54.1875,7.854172,13.817534
54.1875,7.854172,13.196908
54.1875,7.854172,13.014688
54.1875,7.854172,12.356108
54.1875,7.854172,11.820902
54.1875,7.854172,11.014949
54.1875,7.854172,10.711914
54.1875,7.854172,9.734306
54.1875,7.854172,9.699333
54.1875,7.854172,9.689409
54.1875,7.854172,9.447115
54.1875,7.854172,9.437397
54.1875,7.854172,9.092091
54.1875,7.854172,8.880642
54.1875,7.854172,8.831749
54.1875,7.854172,8.658569
54.1875,7.854172,8.48699
54.1875,7.854172,8.265041
54.1875,7.854172,8.245228
54.1875,7.854172,7.78627
54.1875,7.854172,7.7691445
54.1875,7.854172,7.660012
54.1875,7.854172,7.580916
54.1875,7.854172,7.478669
54.1875,7.854172,7.357298
54.1875,7.854172,7.355849
54.1875,7.854172,7.3100104
54.1875,7.854172,7.164496
54.1875,7.854172,7.114519
54.1875,7.854172,7.0932345
54.1875,7.854172,6.958447
54.1875,7.854172,6.7365007
54.1875,7.854172,6.711648
54.1875,7.854172,6.709223
54.1875,7.854172,6.691818
54.1875,7.854172,6.678094
54.1875,7.854172,6.657053
54.1875,7.854172,6.656917
54.1875,7.854172,6.407137
54.1875,7.854172,6.299632
54.1875,7.854172,6.249168
54.1875,7.854172,6.046211
54.1875,7.854172,6.029169
54.1875,7.854172,5.972889
54.1875,7.854172,5.972516
54.1875,7.854172,5.964032
54.1875,7.854172,5.795364
54.1875,7.854172,5.788448
54.1875,7.854172,5.7064915
54.1875,7.854172,5.70396
54.1875,7.854172,5.6894937
54.1875,7.854172,5.5858693
54.1875,7.854172,5.520107
54.1875,7.854172,5.489232
54.1875,7.854172,5.48505
54.1875,7.854172,5.477966
54.1875,7.854172,5.436176
54.1875,7.854172,5.2417736
54.1875,7.854172,5.204397
54.1875,7.854172,5.1969185
54.1875,7.854172,5.173148
54.1875,7.854172,5.172087
54.1875,7.854172,5.161618
54.1875,7.854172,5.1609173
54.1875,7.854172,4.9758854
54.1875,7.854172,4.961652
54.1875,7.854172,4.933794
54.1875,7.854172,4.929084
54.1875,7.854172,4.919242
54.1875,7.854172,4.881017
54.1875,7.854172,4.847976
54.1875,7.854172,4.841639
54.1875,7.854172,4.833532
54.1875,7.854172,4.807445
54.1875,7.854172,4.719506
54.1875,7.854172,4.7076817
54.1875,7.854172,4.697989
54.1875,7.854172,4.675389
54.1875,7.854172,4.640691
54.1875,7.854172,4.625563
54.1875,7.854172,4.6089106
54.1875,7.854172,4.608059
54.1875,7.854172,4.5589447
54.1875,7.854172,4.531992
54.1875,7.854172,4.5272574
54.1875,7.854172,4.522426
54.1875,7.854172,4.509497
54.1875,7.854172,4.495265
54.1875,7.854172,4.484261
54.1875,7.854172,4.478138
54.1875,7.854172,4.474236
54.1875,7.854172,4.467567
54.1875,7.854172,4.466738
54.1875,7.854172,4.455272
