latitude,longitude,chlorophyll
54.1875,7.854172,3.109675
54.1875,7.854172,3.107945
54.1875,7.854172,3.1039636
54.1875,7.854172,3.0968008
54.1875,7.854172,3.0966024
54.1875,7.854172,3.0937397
54.1875,7.854172,3.0879557
54.1875,7.854172,3.0829284
54.1875,7.854172,3.073589
54.1875,7.854172,3.0678515
54.1875,7.854172,3.061571
54.1875,7.854172,3.049916
54.1875,7.854172,3.03426
54.1875,7.854172,3.018169
54.1875,7.854172,3.014269
54.1875,7.854172,3.014057
54.1875,7.854172,3.0101995
54.1875,7.854172,3.0094619
54.1875,7.854172,2.9961736
54.1875,7.854172,2.9875522
54.1875,7.854172,2.981859
54.1875,7.854172,2.9808335
54.1875,7.854172,2.941931
54.1875,7.854172,2.935144
54.1875,7.854172,2.926401
54.1875,7.854172,2.913979
54.1875,7.854172,2.9026778
54.1875,7.854172,2.896732
54.1875,7.854172,2.8955905
54.1875,7.854172,2.894431
54.1875,7.854172,2.891276
54.1875,7.854172,2.890082
54.1875,7.854172,2.889042
54.1875,7.854172,2.888044
54.1875,7.854172,2.8774786
54.1875,7.854172,2.872806
54.1875,7.854172,2.8718493
54.1875,7.854172,2.8602378
54.1875,7.854172,2.8579547
54.1875,7.854172,2.848224
54.1875,7.854172,2.831031
54.1875,7.854172,2.830704
54.1875,7.854172,2.826239
54.1875,7.854172,2.81792
54.1875,7.854172,2.814455
54.1875,7.854172,2.8138373
54.1875,7.854172,2.785959
54.1875,7.854172,2.770245
54.1875,7.854172,2.7573342
54.1875,7.854172,2.750611
54.1875,7.854172,2.7468705
54.1875,7.854172,2.7450147
54.1875,7.854172,2.743792
54.1875,7.854172,2.708257
54.1875,7.854172,2.708145
54.1875,7.854172,2.705925
54.1875,7.854172,2.7045376
54.1875,7.854172,2.703685
54.1875,7.854172,2.70337
54.1875,7.854172,2.699355
54.1875,7.854172,2.686795
54.1875,7.854172,2.683516
54.1875,7.854172,2.6830487
54.1875,7.854172,2.681809
54.1875,7.854172,2.680179
54.1875,7.854172,2.664958
54.1875,7.854172,2.632531
54.1875,7.854172,2.626562
54.1875,7.854172,2.618568
54.1875,7.854172,2.617111
54.1875,7.854172,2.616436
54.1875,7.854172,2.610314
54.1875,7.854172,2.5973916
54.1875,7.854172,2.5895624
54.1875,7.854172,2.5830703
54.1875,7.854172,2.57425
54.1875,7.854172,2.5654306
54.1875,7.854172,2.564958
54.1875,7.854172,2.5552056
54.1875,7.854172,2.542957
54.1875,7.854172,2.532622
54.1875,7.854172,2.529135
54.1875,7.854172,2.523596
54.1875,7.854172,2.5232935
54.1875,7.854172,2.518894
54.1875,7.854172,2.495198
54.1875,7.854172,2.4902236
54.1875,7.854172,2.478511
54.1875,7.854172,2.458893
54.1875,7.854172,2.457036
54.1875,7.854172,2.449777
54.1875,7.854172,2.443396
54.1875,7.854172,2.430886
54.1875,7.854172,2.416031
54.1875,7.854172,2.414041
54.1875,7.854172,2.403997
54.1875,7.854172,2.402389
54.1875,7.854172,2.390351
54.1875,7.854172,2.372338
54.1875,7.854172,2.3709226
54.1875,7.854172,2.366391
54.1875,7.854172,2.354201
54.1875,7.854172,2.314509
54.1875,7.854172,2.3100133
54.1875,7.854172,2.301764
54.1875,7.854172,2.3015459
54.1875,7.854172,2.2983167
54.1875,7.854172,2.268509
54.1875,7.854172,2.240279
54.1875,7.854172,2.239543
54.1875,7.854172,2.232499
54.1875,7.854172,2.22993
54.1875,7.854172,2.227068
54.1875,7.854172,2.1793647
54.1875,7.854172,2.1668825
54.1875,7.854172,2.163881
54.1875,7.854172,2.161777
54.1875,7.854172,2.131295
54.1875,7.854172,2.114696
54.1875,7.854172,2.114525
54.1875,7.854172,2.1101096
54.1875,7.854172,2.099039
54.1875,7.854172,2.097292
54.1875,7.854172,2.0747013
54.1875,7.854172,2.0699751
54.1875,7.854172,2.022051
54.1875,7.854172,2.0203831
54.1875,7.854172,2.012919
54.1875,7.854172,2.008476
54.1875,7.854172,1.976368
54.1875,7.854172,1.9565933
54.1875,7.854172,1.923044
54.1875,7.854172,1.905118
54.1875,7.854172,1.868282
54.1875,7.854172,1.849692
54.1875,7.854172,1.8061495
54.1875,7.854172,1.789134
54.1875,7.854172,1.7821608
54.1875,7.854172,1.7704444
54.1875,7.854172,1.707241
54.1875,7.854172,1.6545143
54.1875,7.854172,1.6278129
54.1875,7.854172,1.562081
54.1875,7.854172,1.549586
54.1875,7.854172,1.4395466
54.1875,7.854172,1.409305
