Column2,Column3,Column4,Column5,Column6,chla
2014,5,16,36.6406,0.0885,0.01
2014,5,25,36.8594,0.1198,0.01
2014,5,9,36.5052,0.9323,0.010351000000000001
2014,5,16,36.5885,-0.849,0.010351000000000001
2014,5,16,36.4219,-0.4323,0.010351000000000001
2014,5,16,36.3802,-0.151,0.010351000000000001
2014,5,16,36.3802,-0.026,0.010351000000000001
2014,5,16,36.3281,0.1198,0.010351000000000001
2014,5,16,36.2865,-0.0469,0.010351000000000001
2014,5,16,36.2344,-0.026,0.010351000000000001
2014,5,16,36.2135,-0.224,0.010351000000000001
2014,5,16,36.1406,0.0573,0.010351000000000001
2014,5,25,36.3594,0.2865,0.010351000000000001
2014,5,25,36.1198,-0.4635,0.010351000000000001
2014,5,25,35.9219,-0.224,0.010351000000000001
2014,5,25,35.901,-0.276,0.010351000000000001
2014,5,9,37.0469,0.1719,0.010715000000000001
2014,5,9,36.6823,0.6406,0.010715000000000001
2014,5,16,36.6823,-0.276,0.010715000000000001
2014,5,16,36.5469,-0.3385,0.010715000000000001
2014,5,16,36.4427,0.026,0.010715000000000001
2014,5,16,36.3698,0.0365,0.010715000000000001
2014,5,16,36.2552,0.0052,0.010715000000000001
2014,5,26,36.4531,0.724,0.010715000000000001
2014,5,26,36.401,0.5885,0.010715000000000001
2014,5,16,36.5365,-0.6927,0.011091999999999999
2014,5,16,36.5573,-0.3594,0.011091999999999999
2014,5,16,36.474,-0.3073,0.011091999999999999
2014,5,16,36.4531,-0.0885,0.011091999999999999
2014,5,16,36.4427,-0.349,0.011091999999999999
2014,5,16,36.3906,-0.6198,0.011091999999999999
2014,5,16,36.3281,-0.1406,0.011091999999999999
2014,5,16,36.276,-0.2969,0.011091999999999999
2014,5,16,36.2135,-0.2135,0.011091999999999999
2014,5,25,36.9323,0.6198,0.011091999999999999
2014,5,25,36.849,0.6198,0.011091999999999999
2014,5,25,36.8177,0.151,0.011091999999999999
2014,5,26,36.5573,0.974,0.011091999999999999
2014,5,26,36.4219,0.7865,0.011091999999999999
2014,5,16,37.2135,0.5677,0.011481999999999999
2014,5,16,36.651,0.1094,0.011481999999999999
2014,5,16,36.401,-0.0573,0.011481999999999999
2014,5,16,36.349,-0.026,0.011481999999999999
2014,5,16,36.3281,0.0677,0.011481999999999999
2014,5,16,36.2969,0.0052,0.011481999999999999
2014,5,16,36.2344,-0.0677,0.011481999999999999
2014,5,25,37.2031,0.9115,0.011481999999999999
2014,5,25,36.9531,0.5156,0.011481999999999999
2014,5,25,35.9219,-0.2448,0.011481999999999999
2014,5,26,36.5365,0.9427,0.011481999999999999
2014,5,26,36.526,0.849,0.011481999999999999
2014,5,26,36.4531,0.6615,0.011481999999999999
2014,5,26,36.4531,0.7031,0.011481999999999999
2014,5,16,36.2969,-0.9115,0.011885
2014,5,16,36.6615,-0.3177,0.011885
2014,5,16,36.5677,-0.4635,0.011885
2014,5,16,36.5573,-0.5677,0.011885
2014,5,16,36.4531,-0.2865,0.011885
2014,5,16,36.4115,0.099,0.011885
2014,5,25,37.0573,0.4219,0.011885
2014,5,25,36.9531,0.5573,0.011885
2014,5,25,36.2135,0.2969,0.011885
2014,5,26,36.4323,0.724,0.011885
2014,5,26,36.2135,0.2344,0.011885
2014,5,7,36.3594,-0.7448,0.012303
2014,5,16,37.224,0.9948,0.012303
2014,5,16,36.8802,-0.2031,0.012303
