year1,m1,d1,average
2020,11,12,NaN
2020,11,13,NaN
2020,11,14,NaN
2020,11,15,NaN
2020,11,16,NaN
2020,11,17,NaN
2020,11,18,NaN
2020,11,19,NaN
2020,11,20,NaN
2020,11,21,NaN
2020,11,22,NaN
2020,11,23,NaN
2020,11,24,NaN
2020,11,25,NaN
2020,11,26,NaN
2020,11,27,NaN
2020,11,28,NaN
2020,11,29,NaN
2020,11,30,NaN
2020,12,1,NaN
2020,12,2,NaN
2020,12,3,NaN
2020,12,4,NaN
2020,12,5,NaN
2020,12,6,NaN
2020,12,7,NaN
2020,12,8,NaN
2020,12,9,NaN
2020,12,10,NaN
2020,12,11,NaN
2020,12,12,NaN
2020,12,13,NaN
2020,12,14,NaN
2020,12,15,NaN
2020,12,16,NaN
2020,12,17,NaN
2020,12,18,NaN
2020,12,19,NaN
2020,12,20,NaN
2020,12,21,NaN
2020,12,22,NaN
2020,12,23,NaN
2020,12,24,NaN
2020,12,25,NaN
2020,12,26,NaN
2020,12,27,NaN
2020,12,28,NaN
2020,12,29,NaN
2020,12,30,NaN
2020,12,31,NaN
2021,1,1,NaN
2021,1,2,NaN
2021,1,3,NaN
2021,1,4,NaN
2021,1,5,NaN
2021,1,6,NaN
2021,1,7,NaN
2021,1,8,NaN
2021,1,9,NaN
2021,1,10,NaN
2021,1,11,NaN
2021,1,12,NaN
2021,1,13,NaN
2021,1,14,NaN
2021,1,15,NaN
2021,1,16,NaN
2021,1,17,NaN
2021,1,18,NaN
2021,1,19,NaN
2021,1,20,NaN
2021,1,21,NaN
2021,1,22,NaN
2021,1,23,NaN
2021,1,24,NaN
2021,1,25,NaN
2021,1,26,NaN
2021,1,27,NaN
2021,1,28,NaN
2021,1,29,NaN
2021,1,30,NaN
2021,1,31,NaN
2021,2,1,NaN
2021,2,2,NaN
2021,2,3,NaN
2021,2,4,NaN
2021,2,5,NaN
2021,2,6,NaN
2021,2,7,NaN
2021,2,8,NaN
2021,2,9,NaN
2021,2,10,NaN
2021,2,11,NaN
2021,2,12,3.311
2021,2,13,2.786
2021,2,14,NaN
2021,2,15,NaN
2021,2,16,NaN
2021,2,17,NaN
2021,2,18,NaN
2021,2,19,NaN
2021,2,20,1.972
2021,2,21,NaN
2021,2,22,NaN
2021,2,23,NaN
2021,2,24,NaN
2021,2,25,NaN
2021,2,26,2.344
2021,2,27,NaN
2021,2,28,NaN
2021,3,1,NaN
2021,3,2,NaN
2021,3,3,NaN
2021,3,4,NaN
2021,3,5,NaN
2021,3,6,2.512
2021,3,7,NaN
2021,3,8,NaN
2021,3,9,NaN
2021,3,10,NaN
2021,3,11,NaN
2021,3,12,NaN
2021,3,13,2.786
2021,3,14,2.786
2021,3,15,NaN
2021,3,16,NaN
2021,3,17,2.786
2021,3,18,NaN
2021,3,19,NaN
2021,3,20,NaN
2021,3,21,NaN
2021,3,22,NaN
2021,3,23,NaN
2021,3,24,2.884
2021,3,25,NaN
2021,3,26,NaN
2021,3,27,NaN
2021,3,28,NaN
2021,3,29,NaN
2021,3,30,3.311
2021,3,31,3.311
2021,4,1,NaN
2021,4,2,NaN
2021,4,3,NaN
2021,4,4,NaN
2021,4,5,NaN
2021,4,6,NaN
2021,4,7,3.199
2021,4,8,NaN
2021,4,9,NaN
2021,4,10,NaN
2021,4,11,NaN
2021,4,12,NaN
2021,4,13,4.365
2021,4,14,NaN
2021,4,15,NaN
2021,4,16,4.519
2021,4,17,NaN
2021,4,18,3.936
2021,4,19,NaN
2021,4,20,4.217
2021,4,21,NaN
2021,4,22,4.519
2021,4,23,4.677
2021,4,24,NaN
2021,4,25,4.677
2021,4,26,NaN
2021,4,27,4.842
2021,4,28,5.957
2021,4,29,NaN
2021,4,30,NaN
2021,5,1,NaN
2021,5,2,NaN
2021,5,3,NaN
2021,5,4,NaN
2021,5,5,NaN
2021,5,6,NaN
2021,5,7,3.311
2021,5,8,NaN
2021,5,9,NaN
2021,5,10,NaN
2021,5,11,NaN
2021,5,12,NaN
2021,5,13,NaN
2021,5,14,NaN
2021,5,15,NaN
2021,5,16,NaN
2021,5,17,NaN
2021,5,18,NaN
2021,5,19,NaN
2021,5,20,3.548
2021,5,21,NaN
2021,5,22,NaN
2021,5,23,NaN
2021,5,24,NaN
2021,5,25,NaN
2021,5,26,NaN
2021,5,27,NaN
2021,5,28,NaN
2021,5,29,NaN
2021,5,30,NaN
2021,5,31,NaN
2021,6,1,NaN
2021,6,2,2.6
2021,6,3,NaN
2021,6,4,NaN
2021,6,5,NaN
2021,6,6,NaN
2021,6,7,2.512
2021,6,8,4.519
2021,6,9,NaN
2021,6,10,4.217
2021,6,11,NaN
2021,6,12,NaN
2021,6,13,3.548
2021,6,14,NaN
2021,6,15,4.074
2021,6,16,NaN
2021,6,17,4.217
2021,6,18,NaN
2021,6,19,NaN
2021,6,20,NaN
2021,6,21,NaN
