Column2,Column3,Column4,lat,long,chla
2014,1,18,36.3594,-0.7448,0.010715
2014,1,20,36.349,-0.3281,0.010715
2014,1,20,36.526,0.3594,0.011885
2014,1,18,36.1302,0.1615,0.012303
2014,1,20,36.2969,-0.2135,0.012303
2014,1,15,36.151,-0.7135,0.012735
2014,1,20,36.2344,-0.224,0.014125
2014,1,18,36.276,0.0469,0.016788
2014,1,20,36.4531,-0.1198,0.017378
2014,1,18,36.1198,-0.026,0.019275
2014,1,20,36.0052,-0.349,0.019275
2014,1,15,36.6615,-0.7135,0.020654
2014,1,20,36.526,0.349,0.020654
2014,1,18,35.9948,-0.401,0.02138
2014,1,18,35.8073,-0.8802,0.022909
2014,1,20,36.1719,-0.6719,0.022909
2014,1,20,36.5365,0.349,0.023714
2014,1,20,36.4844,0.4635,0.02541
2014,1,20,36.151,-0.6406,0.028184
2014,1,20,36.3698,0.026,0.031261
2014,1,20,36.1406,-0.026,0.032359
2014,1,20,36.026,-0.1302,0.033497
2014,1,20,36.4635,0.2552,0.034674
2014,1,8,36.0573,-0.6927,0.035892
2014,1,18,36.2031,0.1615,0.038459
2014,1,18,36.1927,0.1615,0.038459
2014,1,20,36.3594,0.0052,0.038459
2014,1,18,35.8177,-0.5156,0.039811
2014,1,20,36.0469,-0.276,0.039811
2014,1,20,36.0052,-0.2031,0.039811
2014,1,1,36.4323,0.5052,0.04121
2014,1,20,35.849,-0.7031,0.04121
2014,1,20,36.349,-0.3385,0.04121
2014,1,18,35.901,-0.3073,0.042658
2014,1,20,36.9635,0.8906,0.042658
2014,1,20,36.3906,0.2656,0.042658
2014,1,20,36.3594,0.0677,0.042658
2014,1,9,36.401,-0.0781,0.044157
2014,1,20,36.1927,0.151,0.045709
2014,1,20,36.151,-0.1302,0.045709
2014,1,15,35.849,-0.5365,0.047315
2014,1,18,35.8073,-0.8594,0.047315
2014,1,20,36.0885,-0.1198,0.047315
2014,1,20,35.8594,-0.5885,0.048978
2014,1,18,35.9635,-0.224,0.050699
2014,1,20,36.5781,0.9219,0.050699
2014,1,20,36.3177,0.1615,0.050699
2014,1,20,36.276,0.1198,0.050699
2014,1,31,36.0052,-0.5677,0.050699
2014,1,18,36.5156,-0.3906,0.052481
2014,1,30,36.0677,-0.349,0.052481
2014,1,31,36.026,-0.5469,0.052481
2014,1,18,35.7865,-0.8281,0.054325
2014,1,20,36.4948,0.6198,0.054325
2014,1,31,36.3802,-0.8594,0.054325
2014,1,18,35.7865,-0.8906,0.056234
2014,1,18,35.8385,-0.2344,0.056234
2014,1,20,35.9844,-0.7448,0.056234
2014,1,20,36.0677,-0.5365,0.056234
2014,1,23,36.8177,0.8073,0.056234
2014,1,15,36.1927,-0.6302,0.05821
2014,1,20,35.849,-0.8073,0.05821
2014,1,26,36.1719,-0.2344,0.05821
2014,1,9,36.5885,-0.4844,0.060256
2014,1,18,35.8281,-0.8594,0.060256
2014,1,20,36.2969,-0.2031,0.060256
2014,1,20,35.849,-0.5781,0.060256
2014,1,22,36.849,-0.349,0.060256
2014,1,23,36.8177,0.8177,0.060256
2014,1,24,36.7656,0.4844,0.060256
2014,1,30,35.9219,-0.8385,0.060256
2014,1,20,36.2969,-0.4323,0.062373
2014,1,20,36.0677,-0.1094,0.062373
2014,1,23,36.8073,0.7969,0.062373
2014,1,23,36.8073,0.8073,0.062373
2014,1,23,36.8073,0.8177,0.062373
2014,1,23,36.8073,0.8281,0.062373
2014,1,23,36.7969,0.7969,0.062373
