time,latitude,longitude,chlorophyll
2011-04-25T12:00:00Z,54.1875,7.854172,4.719506
2020-05-30T12:00:00Z,54.1875,7.854172,4.7076817
2009-04-10T12:00:00Z,54.1875,7.854172,4.697989
2014-09-13T12:00:00Z,54.1875,7.854172,4.675389
2005-07-02T12:00:00Z,54.1875,7.854172,4.640691
2020-07-12T12:00:00Z,54.1875,7.854172,4.625563
2021-04-25T12:00:00Z,54.1875,7.854172,4.6089106
2012-08-19T12:00:00Z,54.1875,7.854172,4.608059
2020-03-28T12:00:00Z,54.1875,7.854172,4.5589447
2007-08-05T12:00:00Z,54.1875,7.854172,4.531992
2018-06-15T12:00:00Z,54.1875,7.854172,4.5272574
2009-04-05T12:00:00Z,54.1875,7.854172,4.522426
2007-04-11T12:00:00Z,54.1875,7.854172,4.509497
2013-05-03T12:00:00Z,54.1875,7.854172,4.495265
2014-06-09T12:00:00Z,54.1875,7.854172,4.484261
2014-03-20T12:00:00Z,54.1875,7.854172,4.478138
2007-10-15T12:00:00Z,54.1875,7.854172,4.474236
2007-04-14T12:00:00Z,54.1875,7.854172,4.467567
2017-06-18T12:00:00Z,54.1875,7.854172,4.466738
2010-06-03T12:00:00Z,54.1875,7.854172,4.455272
2004-08-02T12:00:00Z,54.1875,7.854172,4.431355
2011-06-01T12:00:00Z,54.1875,7.854172,4.417277
2021-04-18T12:00:00Z,54.1875,7.854172,4.4156876
2014-09-27T12:00:00Z,54.1875,7.854172,4.404724
2012-07-25T12:00:00Z,54.1875,7.854172,4.384233
2017-04-25T12:00:00Z,54.1875,7.854172,4.3496265
2016-08-17T12:00:00Z,54.1875,7.854172,4.328971
2022-04-25T12:00:00Z,54.1875,7.854172,4.320036
2014-07-16T12:00:00Z,54.1875,7.854172,4.3174386
2020-05-13T12:00:00Z,54.1875,7.854172,4.3170147
2013-08-02T12:00:00Z,54.1875,7.854172,4.311675
2018-11-03T12:00:00Z,54.1875,7.854172,4.3033857
2004-09-09T12:00:00Z,54.1875,7.854172,4.291489
2022-06-11T12:00:00Z,54.1875,7.854172,4.2914047
2017-04-09T12:00:00Z,54.1875,7.854172,4.2889175
2017-08-16T12:00:00Z,54.1875,7.854172,4.2269397
2004-02-20T12:00:00Z,54.1875,7.854172,4.223956
2011-04-14T12:00:00Z,54.1875,7.854172,4.189366
2011-08-20T12:00:00Z,54.1875,7.854172,4.145711
2012-04-05T12:00:00Z,54.1875,7.854172,4.122713
2004-08-08T12:00:00Z,54.1875,7.854172,4.115861
2019-04-21T12:00:00Z,54.1875,7.854172,4.1144304
